team,points,n,p_raw,p,mean,p_top,team_nr
Afturelding (32%),19,6,0.0015,0.010507880910683014,28.03225,32%,5
Afturelding (32%),20,18,0.0045,0.03152364273204904,28.03225,32%,5
Afturelding (32%),21,42,0.0105,0.0735551663747811,28.03225,32%,5
Afturelding (32%),22,83,0.02075,0.14535901926444836,28.03225,32%,5
Afturelding (32%),23,147,0.03675,0.2574430823117338,28.03225,32%,5
Afturelding (32%),24,208,0.052,0.36427320490367776,28.03225,32%,5
Afturelding (32%),25,304,0.076,0.532399299474606,28.03225,32%,5
Afturelding (32%),26,488,0.122,0.8546409807355517,28.03225,32%,5
Afturelding (32%),27,455,0.11375,0.7968476357267952,28.03225,32%,5
Afturelding (32%),28,444,0.111,0.777583187390543,28.03225,32%,5
Afturelding (32%),29,571,0.14275,1,28.03225,32%,5
Afturelding (32%),30,342,0.0855,0.5989492119089318,28.03225,32%,5
Afturelding (32%),31,327,0.08175,0.5726795096322242,28.03225,32%,5
Afturelding (32%),32,301,0.07525,0.5271453590192645,28.03225,32%,5
Afturelding (32%),33,80,0.02,0.14010507880910683,28.03225,32%,5
Afturelding (32%),34,127,0.03175,0.22241681260945712,28.03225,32%,5
Afturelding (32%),35,43,0.01075,0.07530647985989491,28.03225,32%,5
Afturelding (32%),37,14,0.0035,0.0245183887915937,28.03225,32%,5
Breiðablik (100%),32,16,0.004,0.024096385542168672,39.31425000000001,100%,11
Breiðablik (100%),33,62,0.0155,0.09337349397590361,39.31425000000001,100%,11
Breiðablik (100%),34,92,0.023,0.13855421686746988,39.31425000000001,100%,11
Breiðablik (100%),35,191,0.04775,0.2876506024096385,39.31425000000001,100%,11
Breiðablik (100%),36,321,0.08025,0.483433734939759,39.31425000000001,100%,11
Breiðablik (100%),37,362,0.0905,0.5451807228915663,39.31425000000001,100%,11
Breiðablik (100%),38,505,0.12625,0.7605421686746988,39.31425000000001,100%,11
Breiðablik (100%),39,664,0.166,1,39.31425000000001,100%,11
Breiðablik (100%),40,403,0.10075,0.6069277108433735,39.31425000000001,100%,11
Breiðablik (100%),41,477,0.11925,0.7183734939759036,39.31425000000001,100%,11
Breiðablik (100%),42,419,0.10475,0.6310240963855421,39.31425000000001,100%,11
Breiðablik (100%),43,148,0.037,0.2228915662650602,39.31425000000001,100%,11
Breiðablik (100%),44,179,0.04475,0.269578313253012,39.31425000000001,100%,11
Breiðablik (100%),45,116,0.029,0.1746987951807229,39.31425000000001,100%,11
Breiðablik (100%),47,45,0.01125,0.0677710843373494,39.31425000000001,100%,11
FH (46%),19,2,5e-4,0.00315955766192733,28.937999999999995,46%,6
FH (46%),20,5,0.00125,0.007898894154818325,28.937999999999995,46%,6
FH (46%),21,8,0.002,0.01263823064770932,28.937999999999995,46%,6
FH (46%),22,36,0.009,0.05687203791469194,28.937999999999995,46%,6
FH (46%),23,81,0.02025,0.12796208530805686,28.937999999999995,46%,6
FH (46%),24,152,0.038,0.2401263823064771,28.937999999999995,46%,6
FH (46%),25,216,0.054,0.34123222748815163,28.937999999999995,46%,6
FH (46%),26,384,0.096,0.6066350710900474,28.937999999999995,46%,6
FH (46%),27,380,0.095,0.6003159557661928,28.937999999999995,46%,6
FH (46%),28,482,0.1205,0.7614533965244865,28.937999999999995,46%,6
FH (46%),29,633,0.15825,1,28.937999999999995,46%,6
FH (46%),30,368,0.092,0.5813586097946287,28.937999999999995,46%,6
FH (46%),31,433,0.10825,0.684044233807267,28.937999999999995,46%,6
FH (46%),32,392,0.098,0.6192733017377567,28.937999999999995,46%,6
FH (46%),33,113,0.02825,0.17851500789889416,28.937999999999995,46%,6
FH (46%),34,181,0.04525,0.2859399684044234,28.937999999999995,46%,6
FH (46%),35,101,0.02525,0.15955766192733017,28.937999999999995,46%,6
FH (46%),37,33,0.00825,0.05213270142180095,28.937999999999995,46%,6
Fram (72%),24,9,0.00225,0.015050167224080266,31.76775,72%,9
Fram (72%),25,39,0.00975,0.06521739130434782,31.76775,72%,9
Fram (72%),26,75,0.01875,0.1254180602006689,31.76775,72%,9
Fram (72%),27,155,0.03875,0.2591973244147157,31.76775,72%,9
Fram (72%),28,288,0.072,0.4816053511705685,31.76775,72%,9
Fram (72%),29,355,0.08875,0.5936454849498328,31.76775,72%,9
Fram (72%),30,450,0.1125,0.7525083612040134,31.76775,72%,9
Fram (72%),31,598,0.1495,1,31.76775,72%,9
Fram (72%),32,445,0.11125,0.7441471571906355,31.76775,72%,9
Fram (72%),33,447,0.11175,0.7474916387959867,31.76775,72%,9
Fram (72%),34,468,0.117,0.782608695652174,31.76775,72%,9
Fram (72%),35,187,0.04675,0.31270903010033446,31.76775,72%,9
Fram (72%),36,226,0.0565,0.3779264214046823,31.76775,72%,9
Fram (72%),37,151,0.03775,0.2525083612040134,31.76775,72%,9
Fram (72%),38,35,0.00875,0.058528428093645495,31.76775,72%,9
Fram (72%),39,43,0.01075,0.07190635451505016,31.76775,72%,9
Fram (72%),40,24,0.006,0.04013377926421405,31.76775,72%,9
Fram (72%),42,5,0.00125,0.008361204013377928,31.76775,72%,9
KA (30%),19,4,0.001,0.006849315068493151,27.844,30%,4
KA (30%),20,25,0.00625,0.042808219178082196,27.844,30%,4
KA (30%),21,40,0.01,0.06849315068493152,27.844,30%,4
KA (30%),22,94,0.0235,0.16095890410958905,27.844,30%,4
KA (30%),23,186,0.0465,0.3184931506849315,27.844,30%,4
KA (30%),24,224,0.056,0.3835616438356165,27.844,30%,4
KA (30%),25,300,0.075,0.5136986301369864,27.844,30%,4
KA (30%),26,522,0.1305,0.8938356164383563,27.844,30%,4
KA (30%),27,427,0.10675,0.7311643835616438,27.844,30%,4
KA (30%),28,476,0.119,0.815068493150685,27.844,30%,4
KA (30%),29,584,0.146,1,27.844,30%,4
KA (30%),30,282,0.0705,0.4828767123287671,27.844,30%,4
KA (30%),31,332,0.083,0.5684931506849316,27.844,30%,4
KA (30%),32,267,0.06675,0.45719178082191786,27.844,30%,4
KA (30%),33,64,0.016,0.10958904109589042,27.844,30%,4
KA (30%),34,116,0.029,0.1986301369863014,27.844,30%,4
KA (30%),35,44,0.011,0.07534246575342465,27.844,30%,4
KA (30%),37,13,0.00325,0.02226027397260274,27.844,30%,4
KR (0%),17,34,0.0085,0.04276729559748428,23.184500000000003,0%,2
