team,points,n,p_raw,p,mean,p_top,team_nr
Breiðablik (100%),24,1,2.5e-4,0.0028901734104046246,45.71849999999999,100%,10
Breiðablik (100%),25,1,2.5e-4,0.0028901734104046246,45.71849999999999,100%,10
Breiðablik (100%),26,1,2.5e-4,0.0028901734104046246,45.71849999999999,100%,10
Breiðablik (100%),27,1,2.5e-4,0.0028901734104046246,45.71849999999999,100%,10
Breiðablik (100%),29,3,7.5e-4,0.008670520231213874,45.71849999999999,100%,10
Breiðablik (100%),30,10,0.0025,0.028901734104046246,45.71849999999999,100%,10
Breiðablik (100%),31,7,0.00175,0.02023121387283237,45.71849999999999,100%,10
Breiðablik (100%),32,12,0.003,0.034682080924855495,45.71849999999999,100%,10
Breiðablik (100%),33,20,0.005,0.05780346820809249,45.71849999999999,100%,10
Breiðablik (100%),34,34,0.0085,0.09826589595375725,45.71849999999999,100%,10
Breiðablik (100%),35,43,0.01075,0.12427745664739884,45.71849999999999,100%,10
Breiðablik (100%),36,46,0.0115,0.13294797687861273,45.71849999999999,100%,10
Breiðablik (100%),37,62,0.0155,0.17919075144508673,45.71849999999999,100%,10
Breiðablik (100%),38,72,0.018,0.20809248554913296,45.71849999999999,100%,10
Breiðablik (100%),39,103,0.02575,0.2976878612716763,45.71849999999999,100%,10
Breiðablik (100%),40,147,0.03675,0.42485549132947975,45.71849999999999,100%,10
Breiðablik (100%),41,167,0.04175,0.4826589595375723,45.71849999999999,100%,10
Breiðablik (100%),42,239,0.05975,0.6907514450867053,45.71849999999999,100%,10
Breiðablik (100%),43,227,0.05675,0.6560693641618498,45.71849999999999,100%,10
Breiðablik (100%),44,270,0.0675,0.7803468208092487,45.71849999999999,100%,10
Breiðablik (100%),45,308,0.077,0.8901734104046243,45.71849999999999,100%,10
Breiðablik (100%),46,320,0.08,0.9248554913294799,45.71849999999999,100%,10
Breiðablik (100%),47,340,0.085,0.9826589595375724,45.71849999999999,100%,10
Breiðablik (100%),48,346,0.0865,1,45.71849999999999,100%,10
Breiðablik (100%),49,276,0.069,0.7976878612716765,45.71849999999999,100%,10
Breiðablik (100%),50,315,0.07875,0.9104046242774567,45.71849999999999,100%,10
Breiðablik (100%),51,233,0.05825,0.6734104046242776,45.71849999999999,100%,10
Breiðablik (100%),52,123,0.03075,0.3554913294797688,45.71849999999999,100%,10
Breiðablik (100%),53,191,0.04775,0.5520231213872833,45.71849999999999,100%,10
Breiðablik (100%),55,82,0.0205,0.2369942196531792,45.71849999999999,100%,10
FH (84%),9,1,2.5e-4,0.00398406374501992,29.961000000000006,84%,6
FH (84%),10,2,5e-4,0.00796812749003984,29.961000000000006,84%,6
FH (84%),11,1,2.5e-4,0.00398406374501992,29.961000000000006,84%,6
FH (84%),12,3,7.5e-4,0.01195219123505976,29.961000000000006,84%,6
FH (84%),13,5,0.00125,0.0199203187250996,29.961000000000006,84%,6
FH (84%),14,11,0.00275,0.04382470119521912,29.961000000000006,84%,6
FH (84%),15,20,0.005,0.0796812749003984,29.961000000000006,84%,6
FH (84%),16,23,0.00575,0.09163346613545817,29.961000000000006,84%,6
FH (84%),17,39,0.00975,0.1553784860557769,29.961000000000006,84%,6
FH (84%),18,46,0.0115,0.18326693227091634,29.961000000000006,84%,6
FH (84%),19,77,0.01925,0.30677290836653387,29.961000000000006,84%,6
FH (84%),20,98,0.0245,0.3904382470119522,29.961000000000006,84%,6
FH (84%),21,112,0.028,0.44621513944223107,29.961000000000006,84%,6
FH (84%),22,97,0.02425,0.38645418326693226,29.961000000000006,84%,6
FH (84%),23,131,0.03275,0.5219123505976095,29.961000000000006,84%,6
FH (84%),24,156,0.039,0.6215139442231076,29.961000000000006,84%,6
FH (84%),25,189,0.04725,0.7529880478087649,29.961000000000006,84%,6
FH (84%),26,203,0.05075,0.8087649402390439,29.961000000000006,84%,6
FH (84%),27,234,0.0585,0.9322709163346614,29.961000000000006,84%,6
FH (84%),28,215,0.05375,0.8565737051792829,29.961000000000006,84%,6
FH (84%),29,251,0.06275,1,29.961000000000006,84%,6
FH (84%),30,237,0.05925,0.944223107569721,29.961000000000006,84%,6
FH (84%),31,210,0.0525,0.8366533864541832,29.961000000000006,84%,6
FH (84%),32,200,0.05,0.7968127490039841,29.961000000000006,84%,6
FH (84%),33,216,0.054,0.8605577689243028,29.961000000000006,84%,6
FH (84%),34,186,0.0465,0.7410358565737052,29.961000000000006,84%,6
FH (84%),35,196,0.049,0.7808764940239044,29.961000000000006,84%,6
FH (84%),36,163,0.04075,0.649402390438247,29.961000000000006,84%,6
FH (84%),37,153,0.03825,0.6095617529880478,29.961000000000006,84%,6
FH (84%),38,141,0.03525,0.5617529880478087,29.961000000000006,84%,6
FH (84%),39,108,0.027,0.4302788844621514,29.961000000000006,84%,6
FH (84%),40,67,0.01675,0.2669322709163347,29.961000000000006,84%,6
FH (84%),41,67,0.01675,0.2669322709163347,29.961000000000006,84%,6
FH (84%),42,35,0.00875,0.13944223107569723,29.961000000000006,84%,6
