team,points,n,p_raw,p,mean,p_top,team_nr
Afturelding (16%),10,2,5e-4,0.0061162079510703364,25.5165,16%,1
Afturelding (16%),11,4,0.001,0.012232415902140673,25.5165,16%,1
Afturelding (16%),12,11,0.00275,0.03363914373088685,25.5165,16%,1
Afturelding (16%),13,13,0.00325,0.039755351681957186,25.5165,16%,1
Afturelding (16%),14,17,0.00425,0.05198776758409786,25.5165,16%,1
Afturelding (16%),15,40,0.01,0.12232415902140673,25.5165,16%,1
Afturelding (16%),16,53,0.01325,0.1620795107033639,25.5165,16%,1
Afturelding (16%),17,70,0.0175,0.21406727828746178,25.5165,16%,1
Afturelding (16%),18,117,0.02925,0.3577981651376147,25.5165,16%,1
Afturelding (16%),19,142,0.0355,0.4342507645259938,25.5165,16%,1
Afturelding (16%),20,197,0.04925,0.6024464831804281,25.5165,16%,1
Afturelding (16%),21,214,0.0535,0.654434250764526,25.5165,16%,1
Afturelding (16%),22,262,0.0655,0.8012232415902141,25.5165,16%,1
Afturelding (16%),23,297,0.07425,0.9082568807339448,25.5165,16%,1
Afturelding (16%),24,307,0.07675,0.9388379204892966,25.5165,16%,1
Afturelding (16%),25,327,0.08175,1,25.5165,16%,1
Afturelding (16%),26,268,0.067,0.8195718654434251,25.5165,16%,1
Afturelding (16%),27,282,0.0705,0.8623853211009174,25.5165,16%,1
Afturelding (16%),28,287,0.07175,0.8776758409785932,25.5165,16%,1
Afturelding (16%),29,231,0.05775,0.7064220183486238,25.5165,16%,1
Afturelding (16%),30,198,0.0495,0.6055045871559633,25.5165,16%,1
Afturelding (16%),31,167,0.04175,0.5107033639143731,25.5165,16%,1
Afturelding (16%),32,128,0.032,0.39143730886850153,25.5165,16%,1
Afturelding (16%),33,102,0.0255,0.3119266055045871,25.5165,16%,1
Afturelding (16%),34,81,0.02025,0.2477064220183486,25.5165,16%,1
Afturelding (16%),35,57,0.01425,0.1743119266055046,25.5165,16%,1
Afturelding (16%),36,40,0.01,0.12232415902140673,25.5165,16%,1
Afturelding (16%),37,23,0.00575,0.07033639143730887,25.5165,16%,1
Afturelding (16%),38,23,0.00575,0.07033639143730887,25.5165,16%,1
Afturelding (16%),39,11,0.00275,0.03363914373088685,25.5165,16%,1
Afturelding (16%),40,11,0.00275,0.03363914373088685,25.5165,16%,1
Afturelding (16%),41,6,0.0015,0.01834862385321101,25.5165,16%,1
Afturelding (16%),42,2,5e-4,0.0061162079510703364,25.5165,16%,1
Afturelding (16%),43,5,0.00125,0.01529051987767584,25.5165,16%,1
Afturelding (16%),44,2,5e-4,0.0061162079510703364,25.5165,16%,1
Afturelding (16%),45,1,2.5e-4,0.0030581039755351682,25.5165,16%,1
Afturelding (16%),46,2,5e-4,0.0061162079510703364,25.5165,16%,1
Breiðablik (86%),19,2,5e-4,0.006557377049180328,37.2535,86%,12
Breiðablik (86%),21,2,5e-4,0.006557377049180328,37.2535,86%,12
Breiðablik (86%),22,5,0.00125,0.01639344262295082,37.2535,86%,12
Breiðablik (86%),23,8,0.002,0.02622950819672131,37.2535,86%,12
Breiðablik (86%),24,22,0.0055,0.0721311475409836,37.2535,86%,12
Breiðablik (86%),25,22,0.0055,0.0721311475409836,37.2535,86%,12
Breiðablik (86%),26,28,0.007,0.0918032786885246,37.2535,86%,12
Breiðablik (86%),27,55,0.01375,0.18032786885245902,37.2535,86%,12
Breiðablik (86%),28,64,0.016,0.2098360655737705,37.2535,86%,12
Breiðablik (86%),29,86,0.0215,0.2819672131147541,37.2535,86%,12
Breiðablik (86%),30,136,0.034,0.44590163934426236,37.2535,86%,12
Breiðablik (86%),31,128,0.032,0.419672131147541,37.2535,86%,12
Breiðablik (86%),32,193,0.04825,0.6327868852459017,37.2535,86%,12
Breiðablik (86%),33,218,0.0545,0.7147540983606557,37.2535,86%,12
Breiðablik (86%),34,254,0.0635,0.8327868852459017,37.2535,86%,12
Breiðablik (86%),35,282,0.0705,0.9245901639344262,37.2535,86%,12
Breiðablik (86%),36,305,0.07625,1,37.2535,86%,12
Breiðablik (86%),37,267,0.06675,0.8754098360655739,37.2535,86%,12
Breiðablik (86%),38,304,0.076,0.9967213114754099,37.2535,86%,12
Breiðablik (86%),39,276,0.069,0.9049180327868853,37.2535,86%,12
Breiðablik (86%),40,236,0.059,0.7737704918032786,37.2535,86%,12
Breiðablik (86%),41,249,0.06225,0.8163934426229509,37.2535,86%,12
Breiðablik (86%),42,185,0.04625,0.6065573770491803,37.2535,86%,12
Breiðablik (86%),43,169,0.04225,0.5540983606557378,37.2535,86%,12
Breiðablik (86%),44,141,0.03525,0.4622950819672131,37.2535,86%,12
