team,points,n,p_raw,p,mean,p_top,team_nr
Afturelding (33%),19,6,0.0015,0.009966777408637875,27.98925,33%,6
Afturelding (33%),20,17,0.00425,0.028239202657807314,27.98925,33%,6
Afturelding (33%),21,37,0.00925,0.061461794019933555,27.98925,33%,6
Afturelding (33%),22,95,0.02375,0.15780730897009967,27.98925,33%,6
Afturelding (33%),23,173,0.04325,0.287375415282392,27.98925,33%,6
Afturelding (33%),24,232,0.058,0.3853820598006645,27.98925,33%,6
Afturelding (33%),25,300,0.075,0.4983388704318937,27.98925,33%,6
Afturelding (33%),26,447,0.11175,0.7425249169435216,27.98925,33%,6
Afturelding (33%),27,422,0.1055,0.7009966777408638,27.98925,33%,6
Afturelding (33%),28,459,0.11475,0.7624584717607974,27.98925,33%,6
Afturelding (33%),29,602,0.1505,1,27.98925,33%,6
Afturelding (33%),30,326,0.0815,0.5415282392026578,27.98925,33%,6
Afturelding (33%),31,333,0.08325,0.553156146179402,27.98925,33%,6
Afturelding (33%),32,309,0.07725,0.5132890365448505,27.98925,33%,6
Afturelding (33%),33,71,0.01775,0.11794019933554817,27.98925,33%,6
Afturelding (33%),34,96,0.024,0.159468438538206,27.98925,33%,6
Afturelding (33%),35,55,0.01375,0.09136212624584718,27.98925,33%,6
Afturelding (33%),37,20,0.005,0.03322259136212625,27.98925,33%,6
Breiðablik (100%),31,7,0.00175,0.01002865329512894,38.867,100%,11
Breiðablik (100%),32,26,0.0065,0.03724928366762178,38.867,100%,11
Breiðablik (100%),33,44,0.011,0.06303724928366762,38.867,100%,11
Breiðablik (100%),34,108,0.027,0.15472779369627507,38.867,100%,11
Breiðablik (100%),35,273,0.06825,0.3911174785100287,38.867,100%,11
Breiðablik (100%),36,295,0.07375,0.42263610315186245,38.867,100%,11
Breiðablik (100%),37,453,0.11325,0.6489971346704871,38.867,100%,11
Breiðablik (100%),38,698,0.1745,1,38.867,100%,11
Breiðablik (100%),39,473,0.11825,0.6776504297994269,38.867,100%,11
Breiðablik (100%),40,504,0.126,0.7220630372492837,38.867,100%,11
Breiðablik (100%),41,511,0.12775,0.7320916905444127,38.867,100%,11
Breiðablik (100%),42,178,0.0445,0.25501432664756446,38.867,100%,11
Breiðablik (100%),43,231,0.05775,0.3309455587392551,38.867,100%,11
Breiðablik (100%),44,143,0.03575,0.20487106017191978,38.867,100%,11
Breiðablik (100%),46,56,0.014,0.08022922636103152,38.867,100%,11
FH (28%),18,1,2.5e-4,0.001488095238095238,27.590500000000002,28%,5
FH (28%),19,4,0.001,0.005952380952380952,27.590500000000002,28%,5
FH (28%),20,12,0.003,0.017857142857142856,27.590500000000002,28%,5
FH (28%),21,33,0.00825,0.049107142857142856,27.590500000000002,28%,5
FH (28%),22,115,0.02875,0.17113095238095238,27.590500000000002,28%,5
FH (28%),23,141,0.03525,0.20982142857142855,27.590500000000002,28%,5
FH (28%),24,236,0.059,0.35119047619047616,27.590500000000002,28%,5
FH (28%),25,477,0.11925,0.7098214285714285,27.590500000000002,28%,5
FH (28%),26,374,0.0935,0.556547619047619,27.590500000000002,28%,5
FH (28%),27,519,0.12975,0.7723214285714286,27.590500000000002,28%,5
FH (28%),28,672,0.168,1,27.590500000000002,28%,5
FH (28%),29,343,0.08575,0.5104166666666666,27.590500000000002,28%,5
FH (28%),30,416,0.104,0.619047619047619,27.590500000000002,28%,5
FH (28%),31,360,0.09,0.5357142857142857,27.590500000000002,28%,5
FH (28%),32,81,0.02025,0.12053571428571429,27.590500000000002,28%,5
FH (28%),33,137,0.03425,0.20386904761904762,27.590500000000002,28%,5
FH (28%),34,62,0.0155,0.09226190476190475,27.590500000000002,28%,5
FH (28%),36,17,0.00425,0.025297619047619048,27.590500000000002,28%,5
Fram (75%),24,10,0.0025,0.016750418760469014,31.834500000000002,75%,9
Fram (75%),25,43,0.01075,0.07202680067001675,31.834500000000002,75%,9
Fram (75%),26,66,0.0165,0.11055276381909548,31.834500000000002,75%,9
Fram (75%),27,139,0.03475,0.23283082077051928,31.834500000000002,75%,9
Fram (75%),28,303,0.07575,0.507537688442211,31.834500000000002,75%,9
Fram (75%),29,345,0.08625,0.5778894472361809,31.834500000000002,75%,9
Fram (75%),30,411,0.10275,0.6884422110552764,31.834500000000002,75%,9
Fram (75%),31,597,0.14925,1,31.834500000000002,75%,9
Fram (75%),32,437,0.10925,0.7319932998324958,31.834500000000002,75%,9
Fram (75%),33,470,0.1175,0.7872696817420436,31.834500000000002,75%,9
Fram (75%),34,482,0.1205,0.8073701842546064,31.834500000000002,75%,9
Fram (75%),35,223,0.05575,0.373534338358459,31.834500000000002,75%,9
Fram (75%),36,200,0.05,0.33500837520938026,31.834500000000002,75%,9
Fram (75%),37,168,0.042,0.28140703517587945,31.834500000000002,75%,9
Fram (75%),38,38,0.0095,0.06365159128978225,31.834500000000002,75%,9
Fram (75%),39,43,0.01075,0.07202680067001675,31.834500000000002,75%,9
Fram (75%),40,23,0.00575,0.038525963149078725,31.834500000000002,75%,9
Fram (75%),42,2,5e-4,0.0033500837520938024,31.834500000000002,75%,9
KA (20%),18,8,0.002,0.014732965009208102,26.606500000000004,20%,4
KA (20%),19,24,0.006,0.04419889502762431,26.606500000000004,20%,4
KA (20%),20,39,0.00975,0.0718232044198895,26.606500000000004,20%,4
KA (20%),21,103,0.02575,0.18968692449355432,26.606500000000004,20%,4
KA (20%),22,225,0.05625,0.4143646408839779,26.606500000000004,20%,4
KA (20%),23,237,0.05925,0.43646408839779,26.606500000000004,20%,4
KA (20%),24,340,0.085,0.6261510128913443,26.606500000000004,20%,4
KA (20%),25,536,0.134,0.9871086556169429,26.606500000000004,20%,4
KA (20%),26,447,0.11175,0.8232044198895028,26.606500000000004,20%,4
KA (20%),27,466,0.1165,0.858195211786372,26.606500000000004,20%,4
KA (20%),28,543,0.13575,1,26.606500000000004,20%,4
KA (20%),29,284,0.071,0.5230202578268875,26.606500000000004,20%,4
KA (20%),30,313,0.07825,0.576427255985267,26.606500000000004,20%,4
KA (20%),31,253,0.06325,0.46593001841620624,26.606500000000004,20%,4
KA (20%),32,50,0.0125,0.09208103130755065,26.606500000000004,20%,4
KA (20%),33,73,0.01825,0.13443830570902393,26.606500000000004,20%,4
KA (20%),34,44,0.011,0.08103130755064455,26.606500000000004,20%,4
KA (20%),36,15,0.00375,0.02762430939226519,26.606500000000004,20%,4
KR (7%),17,9,0.00225,0.012311901504787962,24.501749999999998,7%,2
KR (7%),18,50,0.0125,0.06839945280437756,24.501749999999998,7%,2
KR (7%),19,63,0.01575,0.08618331053351573,24.501749999999998,7%,2
KR (7%),20,158,0.0395,0.2161422708618331,24.501749999999998,7%,2
KR (7%),21,338,0.0845,0.46238030095759236,24.501749999999998,7%,2
KR (7%),22,306,0.0765,0.4186046511627907,24.501749999999998,7%,2
KR (7%),23,482,0.1205,0.6593707250341997,24.501749999999998,7%,2
KR (7%),24,731,0.18275,1,24.501749999999998,7%,2
KR (7%),25,392,0.098,0.5362517099863201,24.501749999999998,7%,2
KR (7%),26,497,0.12425,0.679890560875513,24.501749999999998,7%,2
KR (7%),27,468,0.117,0.640218878248974,24.501749999999998,7%,2
KR (7%),28,127,0.03175,0.17373461012311903,24.501749999999998,7%,2
KR (7%),29,221,0.05525,0.3023255813953489,24.501749999999998,7%,2
KR (7%),30,121,0.03025,0.16552667578659372,24.501749999999998,7%,2
KR (7%),32,37,0.00925,0.0506155950752394,24.501749999999998,7%,2
Stjarnan (62%),24,40,0.01,0.06837606837606838,30.895999999999997,62%,8
Stjarnan (62%),25,107,0.02675,0.18290598290598292,30.895999999999997,62%,8
Stjarnan (62%),26,129,0.03225,0.22051282051282053,30.895999999999997,62%,8
Stjarnan (62%),27,261,0.06525,0.4461538461538462,30.895999999999997,62%,8
Stjarnan (62%),28,397,0.09925,0.6786324786324787,30.895999999999997,62%,8
Stjarnan (62%),29,396,0.099,0.676923076923077,30.895999999999997,62%,8
Stjarnan (62%),30,490,0.1225,0.8376068376068376,30.895999999999997,62%,8
Stjarnan (62%),31,585,0.14625,1,30.895999999999997,62%,8
Stjarnan (62%),32,403,0.10075,0.688888888888889,30.895999999999997,62%,8
