team,points,n,p_raw,p,mean,p_top,team_nr
Breiðablik (100%),25,1,2.5e-4,0.0022727272727272726,47.368,100%,10
Breiðablik (100%),29,1,2.5e-4,0.0022727272727272726,47.368,100%,10
Breiðablik (100%),30,1,2.5e-4,0.0022727272727272726,47.368,100%,10
Breiðablik (100%),31,3,7.5e-4,0.006818181818181819,47.368,100%,10
Breiðablik (100%),32,2,5e-4,0.004545454545454545,47.368,100%,10
Breiðablik (100%),33,5,0.00125,0.011363636363636364,47.368,100%,10
Breiðablik (100%),34,9,0.00225,0.020454545454545454,47.368,100%,10
Breiðablik (100%),35,4,0.001,0.00909090909090909,47.368,100%,10
Breiðablik (100%),36,20,0.005,0.045454545454545456,47.368,100%,10
Breiðablik (100%),37,23,0.00575,0.05227272727272727,47.368,100%,10
Breiðablik (100%),38,34,0.0085,0.07727272727272728,47.368,100%,10
Breiðablik (100%),39,60,0.015,0.13636363636363635,47.368,100%,10
Breiðablik (100%),40,66,0.0165,0.15,47.368,100%,10
Breiðablik (100%),41,118,0.0295,0.2681818181818182,47.368,100%,10
Breiðablik (100%),42,165,0.04125,0.375,47.368,100%,10
Breiðablik (100%),43,180,0.045,0.40909090909090906,47.368,100%,10
Breiðablik (100%),44,238,0.0595,0.5409090909090909,47.368,100%,10
Breiðablik (100%),45,318,0.0795,0.7227272727272728,47.368,100%,10
Breiðablik (100%),46,294,0.0735,0.6681818181818181,47.368,100%,10
Breiðablik (100%),47,378,0.0945,0.8590909090909091,47.368,100%,10
Breiðablik (100%),48,368,0.092,0.8363636363636363,47.368,100%,10
Breiðablik (100%),49,344,0.086,0.7818181818181817,47.368,100%,10
Breiðablik (100%),50,440,0.11,1,47.368,100%,10
Breiðablik (100%),51,280,0.07,0.6363636363636365,47.368,100%,10
Breiðablik (100%),52,209,0.05225,0.475,47.368,100%,10
Breiðablik (100%),53,308,0.077,0.7,47.368,100%,10
Breiðablik (100%),55,131,0.03275,0.29772727272727273,47.368,100%,10
FH (94%),13,1,2.5e-4,0.0035714285714285713,33.53224999999999,94%,7
FH (94%),15,2,5e-4,0.007142857142857143,33.53224999999999,94%,7
FH (94%),16,2,5e-4,0.007142857142857143,33.53224999999999,94%,7
