team,points,n,p_raw,p,mean,p_top,team_nr
Afturelding (5%),20,38,0.0095,0.05663189269746646,26.460000000000004,5%,4
Afturelding (5%),21,120,0.03,0.1788375558867362,26.460000000000004,5%,4
Afturelding (5%),22,149,0.03725,0.22205663189269745,26.460000000000004,5%,4
Afturelding (5%),23,315,0.07875,0.46944858420268254,26.460000000000004,5%,4
Afturelding (5%),24,495,0.12375,0.7377049180327868,26.460000000000004,5%,4
Afturelding (5%),25,369,0.09225,0.5499254843517138,26.460000000000004,5%,4
Afturelding (5%),26,526,0.1315,0.7839046199701937,26.460000000000004,5%,4
Afturelding (5%),27,671,0.16775,1,26.460000000000004,5%,4
Afturelding (5%),28,301,0.07525,0.44858420268256327,26.460000000000004,5%,4
Afturelding (5%),29,403,0.10075,0.6005961251862891,26.460000000000004,5%,4
Afturelding (5%),30,327,0.08175,0.48733233979135615,26.460000000000004,5%,4
Afturelding (5%),31,66,0.0165,0.09836065573770492,26.460000000000004,5%,4
Afturelding (5%),32,138,0.0345,0.20566318926974664,26.460000000000004,5%,4
Afturelding (5%),33,59,0.01475,0.0879284649776453,26.460000000000004,5%,4
Afturelding (5%),35,23,0.00575,0.034277198211624435,26.460000000000004,5%,4
Breiðablik (99%),32,141,0.03525,0.18626155878467635,36.60475,99%,10
Breiðablik (99%),33,395,0.09875,0.5217965653896962,36.60475,99%,10
Breiðablik (99%),34,258,0.0645,0.34081902245706736,36.60475,99%,10
Breiðablik (99%),35,589,0.14725,0.7780713342140025,36.60475,99%,10
Breiðablik (99%),36,757,0.18925,1,36.60475,99%,10
Breiðablik (99%),37,339,0.08475,0.4478203434610304,36.60475,99%,10
Breiðablik (99%),38,606,0.1515,0.8005284015852048,36.60475,99%,10
Breiðablik (99%),39,474,0.1185,0.6261558784676353,36.60475,99%,10
Breiðablik (99%),40,95,0.02375,0.12549537648612946,36.60475,99%,10
Breiðablik (99%),41,218,0.0545,0.28797886393659183,36.60475,99%,10
Breiðablik (99%),42,97,0.02425,0.12813738441215325,36.60475,99%,10
Breiðablik (99%),44,31,0.00775,0.04095112285336856,36.60475,99%,10
FH (8%),19,3,7.5e-4,0.004665629860031104,27.51225,8%,5
FH (8%),20,20,0.005,0.031104199066874026,27.51225,8%,5
FH (8%),21,23,0.00575,0.03576982892690513,27.51225,8%,5
FH (8%),22,92,0.023,0.14307931570762053,27.51225,8%,5
FH (8%),23,191,0.04775,0.29704510108864696,27.51225,8%,5
FH (8%),24,214,0.0535,0.33281493001555207,27.51225,8%,5
FH (8%),25,380,0.095,0.5909797822706065,27.51225,8%,5
FH (8%),26,568,0.142,0.8833592534992223,27.51225,8%,5
FH (8%),27,424,0.106,0.6594090202177294,27.51225,8%,5
FH (8%),28,580,0.145,0.9020217729393467,27.51225,8%,5
FH (8%),29,643,0.16075,1,27.51225,8%,5
