team,points,n,p_raw,p,mean,p_top,team_nr
Afturelding (1%),21,415,0.10375,0.4481641468682505,24.1855,1%,2
Afturelding (1%),22,685,0.17125,0.7397408207343412,24.1855,1%,2
Afturelding (1%),23,305,0.07625,0.32937365010799136,24.1855,1%,2
Afturelding (1%),24,926,0.2315,1,24.1855,1%,2
Afturelding (1%),25,765,0.19125,0.8261339092872569,24.1855,1%,2
Afturelding (1%),26,165,0.04125,0.17818574514038876,24.1855,1%,2
Afturelding (1%),27,505,0.12625,0.5453563714902807,24.1855,1%,2
Afturelding (1%),28,176,0.044,0.19006479481641467,24.1855,1%,2
Afturelding (1%),30,58,0.0145,0.06263498920086392,24.1855,1%,2
Breiðablik (100%),32,78,0.0195,0.0861878453038674,37.28075,100%,10
Breiðablik (100%),33,177,0.04425,0.19558011049723756,37.28075,100%,10
Breiðablik (100%),34,142,0.0355,0.15690607734806628,37.28075,100%,10
Breiðablik (100%),35,502,0.1255,0.554696132596685,37.28075,100%,10
Breiðablik (100%),36,732,0.183,0.8088397790055248,37.28075,100%,10
Breiðablik (100%),37,265,0.06625,0.2928176795580111,37.28075,100%,10
Breiðablik (100%),38,905,0.22625,1,37.28075,100%,10
Breiðablik (100%),39,659,0.16475,0.7281767955801105,37.28075,100%,10
Breiðablik (100%),41,540,0.135,0.5966850828729282,37.28075,100%,10
FH (70%),26,108,0.027,0.1382842509603073,30.82,70%,8
FH (70%),27,270,0.0675,0.34571062740076824,30.82,70%,8
FH (70%),28,199,0.04975,0.25480153649167736,30.82,70%,8
FH (70%),29,595,0.14875,0.761843790012804,30.82,70%,8
FH (70%),30,781,0.19525,1,30.82,70%,8
FH (70%),31,312,0.078,0.3994878361075544,30.82,70%,8
FH (70%),32,762,0.1905,0.9756722151088348,30.82,70%,8
FH (70%),33,593,0.14825,0.7592829705505761,30.82,70%,8
FH (70%),35,380,0.095,0.48655569782330343,30.82,70%,8
Fram (39%),25,261,0.06525,0.3118279569892473,28.916999999999998,39%,7
Fram (39%),26,467,0.11675,0.5579450418160096,28.916999999999998,39%,7
Fram (39%),27,275,0.06875,0.3285543608124254,28.916999999999998,39%,7
Fram (39%),28,761,0.19025,0.9091995221027479,28.916999999999998,39%,7
Fram (39%),29,837,0.20925,1,28.916999999999998,39%,7
Fram (39%),30,265,0.06625,0.31660692951015534,28.916999999999998,39%,7
Fram (39%),31,597,0.14925,0.7132616487455197,28.916999999999998,39%,7
Fram (39%),32,360,0.09,0.43010752688172044,28.916999999999998,39%,7
Fram (39%),34,177,0.04425,0.2114695340501792,28.916999999999998,39%,7
KA (37%),26,673,0.16825,0.5821799307958478,28.525750000000002,37%,5
KA (37%),27,799,0.19975,0.6911764705882354,28.525750000000002,37%,5
KA (37%),28,266,0.0665,0.23010380622837373,28.525750000000002,37%,5
KA (37%),29,1156,0.289,1,28.525750000000002,37%,5
KA (37%),30,666,0.1665,0.5761245674740485,28.525750000000002,37%,5
KA (37%),32,440,0.11,0.3806228373702422,28.525750000000002,37%,5
KR (15%),23,126,0.0315,0.1290983606557377,27.62625,15%,3
KR (15%),24,230,0.0575,0.23565573770491804,27.62625,15%,3
KR (15%),25,167,0.04175,0.1711065573770492,27.62625,15%,3
KR (15%),26,770,0.1925,0.7889344262295083,27.62625,15%,3
KR (15%),27,836,0.209,0.8565573770491803,27.62625,15%,3
KR (15%),28,202,0.0505,0.2069672131147541,27.62625,15%,3
KR (15%),29,976,0.244,1,27.62625,15%,3
KR (15%),30,408,0.102,0.41803278688524587,27.62625,15%,3
KR (15%),32,285,0.07125,0.29200819672131145,27.62625,15%,3
Stjarnan (98%),31,570,0.1425,0.42728635682158916,33.81675,98%,9
Stjarnan (98%),32,657,0.16425,0.492503748125937,33.81675,98%,9
Stjarnan (98%),33,171,0.04275,0.12818590704647675,33.81675,98%,9
Stjarnan (98%),34,1334,0.3335,1,33.81675,98%,9
Stjarnan (98%),35,671,0.16775,0.5029985007496252,33.81675,98%,9
Stjarnan (98%),37,597,0.14925,0.4475262368815592,33.81675,98%,9
Valur (100%),37,189,0.04725,0.12633689839572193,40.57725,100%,12
Valur (100%),38,369,0.09225,0.24665775401069517,40.57725,100%,12
Valur (100%),39,143,0.03575,0.09558823529411764,40.57725,100%,12
Valur (100%),40,1496,0.374,1,40.57725,100%,12
Valur (100%),41,826,0.2065,0.5521390374331551,40.57725,100%,12
Valur (100%),43,977,0.24425,0.6530748663101604,40.57725,100%,12
Vestri (21%),26,465,0.11625,0.30194805194805197,28.775750000000002,21%,6
Vestri (21%),27,657,0.16425,0.4266233766233766,28.775750000000002,21%,6
Vestri (21%),28,175,0.04375,0.11363636363636363,28.775750000000002,21%,6
Vestri (21%),29,1540,0.385,1,28.775750000000002,21%,6
Vestri (21%),30,751,0.18775,0.48766233766233763,28.775750000000002,21%,6
Vestri (21%),32,412,0.103,0.2675324675324675,28.775750000000002,21%,6
Víkingur R. (100%),35,199,0.04975,0.20368474923234392,38.825750000000006,100%,11
Víkingur R. (100%),36,451,0.11275,0.4616171954964176,38.825750000000006,100%,11
Víkingur R. (100%),37,253,0.06325,0.25895598771750256,38.825750000000006,100%,11
Víkingur R. (100%),38,977,0.24425,1,38.825750000000006,100%,11
Víkingur R. (100%),39,874,0.2185,0.8945752302968271,38.825750000000006,100%,11
Víkingur R. (100%),40,182,0.0455,0.18628454452405321,38.825750000000006,100%,11
Víkingur R. (100%),41,671,0.16775,0.6867963152507677,38.825750000000006,100%,11
Víkingur R. (100%),42,277,0.06925,0.2835209825997953,38.825750000000006,100%,11
Víkingur R. (100%),44,116,0.029,0.11873080859774822,38.825750000000006,100%,11
ÍA (0%),16,224,0.056,0.25836216839677045,20.04675,0%,1
ÍA (0%),17,438,0.1095,0.5051903114186851,20.04675,0%,1
ÍA (0%),18,272,0.068,0.3137254901960785,20.04675,0%,1
ÍA (0%),19,720,0.18,0.8304498269896193,20.04675,0%,1
ÍA (0%),20,867,0.21675,1,20.04675,0%,1
ÍA (0%),21,267,0.06675,0.3079584775086505,20.04675,0%,1
ÍA (0%),22,626,0.1565,0.7220299884659747,20.04675,0%,1
